TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,183549,183549,1,Iardașița,Iardașița,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,5.26349365234375,5.26349358636469,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183853,183853,1,Balta Albă,Balta Albă,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,11.5209423828125,11.5209418027022,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183551,183551,1,Izvoarele Nerei,Izvoarele Nerei,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,50.8169189453125,50.8169185863955,Not Applicable,0,Designated,1973,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183817,183817,1,Pășunea cu Corynephorus de la Voievozi,Pășunea cu Corynephorus de la Voievozi,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,1.11249801635742,1.11249807009865,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183617,183617,1,Locul fosilifer de la Tirol,Locul fosilifer de la Tirol,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.00129170000553131,0.00129166017326909,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,184068,184068,1,Baziaș,Baziaș,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,2.28492446899414,2.28492428183722,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183802,183802,1,Pârâul Dumbrava,Pârâul Dumbrava,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,1.50019866943359,1.50019868561744,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183619,183619,1,Locul fosilifer de la Apadia,Locul fosilifer de la Apadia,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0153880000114441,0.0153879914599589,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,184102,184102,1,Cheile Rudăriei,Cheile Rudăriei,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,2.90368896484375,2.90368910920235,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,184085,184085,1,Ravena Crouri,Ravena Crouri,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,1.38222763061523,1.38222775061838,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183600,183600,1,Valea Horoabei,Valea Horoabei,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.081930103302002,0.0819300612820143,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,9390,9390,1,Dunele marine de la Agigea,Dunele marine de la Agigea,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,0.118136100769043,0.118136136231207,Not Applicable,0,Designated,1939,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,184168,184168,1,Locul fosilifer Bucovăț,Locul fosilifer Bucovăț,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,0.00943589985370636,0.0094359121463588,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,9392,9392,1,Pădurea Hagieni,Pădurea Hagieni,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,4.69952850341797,4.69952887454962,Not Applicable,0,Designated,1970,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183534,183534,1,Lacul Pochina,Lacul Pochina,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.704803695678711,0.704803691583,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,184151,184151,1,Dunele Dăbuleni,Dunele Dăbuleni,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.217652397155762,0.217652384143703,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
